File Name,Supplier Name,Invoice Number,Invoice Date,SIRET,Echeance,Invoice Content,TVA Percentage,TVA Amount,Total Amount,Payment Status,Solde du,Notes
FR_invoice_synth_001.pdf,Merle EURL,FAC-2025-7505,23/10/2025,65172862335735,14/08/2026,Audit de sécurité; Location d'équipement,10,4514.31,49657.41,UNPAID,49657.41,synthetic
FR_invoice_synth_002.pdf,Lopez SARL,FC-2026-3073,01/01/2026,18626596939007,18/03/2026,Transport de marchandises; Licence logicielle; Nettoyage de locaux; Transport de marchandises; Installation réseau; Hébergement web,20,4412.37,26474.20,PAID,,synthetic
FR_invoice_synth_003.pdf,Dijoux SCI,F-2025-0457,13/04/2025,22472991680330,01/10/2025,Création graphique; Installation réseau; Rédaction de contenu; Nettoyage de locaux; Rédaction de contenu; Formation professionnelle,20,18171.47,109028.83,UNPAID,109028.83,synthetic
FR_invoice_synth_004.pdf,Mahe EURL,F-2025-9526,24/02/2025,77876051787814,15/08/2025,Support technique; Fourniture de matériel,20,2295.86,13775.16,UNPAID,13775.16,synthetic
FR_invoice_synth_005.pdf,De Oliveira EURL,FC-2025-0438,09/09/2025,88335029518302,06/04/2026,Hébergement web; Développement logiciel; Location d'équipement,10,1626.74,17894.18,PAID,,synthetic
FR_invoice_synth_006.pdf,Guillet EURL,FC-2025-9507,12/07/2025,86945827195530,26/05/2026,Audit de sécurité; Développement logiciel; Transport de marchandises; Installation réseau,5.5,1240.03,23785.95,UNPAID,23785.95,synthetic
FR_invoice_synth_007.pdf,Perrot SA,FAC-2025-4471,30/04/2025,03950384291604,09/05/2025,Installation réseau; Formation professionnelle; Nettoyage de locaux; Licence logicielle,5.5,3531.09,67732.81,UNPAID,67732.81,synthetic
FR_invoice_synth_008.pdf,David SARL,FAC-2024-7149,03/10/2024,24238038079490,01/06/2025,Développement logiciel; Rédaction de contenu; Location d'équipement,10,8029.06,88319.70,UNPAID,88319.70,synthetic
FR_invoice_synth_009.pdf,Dijoux SCI,F-2025-2405,09/02/2025,51102919508543,12/04/2025,Développement logiciel; Développement logiciel,20,1472.19,8833.14,UNPAID,8833.14,synthetic
FR_invoice_synth_010.pdf,Arnaud SAS,FAC-2024-8366,20/07/2024,87283341033917,14/02/2026,Support technique; Hébergement web; Location d'équipement; Installation réseau; Installation réseau; Formation professionnelle,5.5,2812.47,53948.35,PAID,,synthetic
FR_invoice_synth_011.pdf,Leconte SASU,FC-2026-2395,17/03/2026,81666226318854,03/05/2026,Hébergement web; Support technique; Formation professionnelle; Maintenance annuelle; Transport de marchandises,20,17252.02,103512.12,PAID,,synthetic
FR_invoice_synth_012.pdf,Poulain SA,FAC-2025-1325,07/04/2025,27678421746915,22/08/2025,Prestation de conseil; Nettoyage de locaux; Rédaction de contenu; Maintenance annuelle; Formation professionnelle; Nettoyage de locaux,20,17766.32,106597.94,PAID,,synthetic
FR_invoice_synth_013.pdf,Maillot SA,F-2025-1719,30/03/2025,39054689327606,07/09/2025,Audit de sécurité; Maintenance annuelle; Transport de marchandises; Audit de sécurité; Formation professionnelle; Maintenance annuelle,20,20592.38,123554.30,UNPAID,123554.30,synthetic
FR_invoice_synth_014.pdf,Marin EURL,FC-2024-5414,05/12/2024,29906063405197,23/05/2026,Installation réseau; Hébergement web; Rédaction de contenu,5.5,1338.31,25671.23,UNPAID,25671.23,synthetic
FR_invoice_synth_015.pdf,Buisson SCI,FAC-2024-3528,04/12/2024,06699278746971,31/12/2024,Maintenance annuelle; Support technique; Maintenance annuelle,20,9353.97,56123.83,UNPAID,56123.83,synthetic
FR_invoice_img_synth_001.png,Duval SARL,FC-2025-5409,09/01/2025,86469479091676,21/01/2026,Création graphique; Développement logiciel; Création graphique,10,2196.14,24157.55,PAID,,synthetic
FR_invoice_img_synth_002.png,Marchal SA,FAC-2025-9441,20/03/2025,58215707879869,17/05/2026,Hébergement web; Transport de marchandises; Fourniture de matériel,20,3787.45,22724.70,UNPAID,22724.70,synthetic
FR_invoice_img_synth_003.png,Leduc EURL,FC-2025-5589,17/04/2025,31541440478697,12/09/2025,Transport de marchandises; Développement logiciel; Audit de sécurité; Nettoyage de locaux; Fourniture de matériel; Maintenance annuelle,20,10757.04,64542.23,PAID,,synthetic
FR_invoice_img_synth_004.png,Carlier EURL,FC-2026-6313,09/01/2026,13953286316822,11/06/2026,Création graphique; Transport de marchandises; Hébergement web; Audit de sécurité; Transport de marchandises; Maintenance annuelle,5.5,5744.74,110194.54,UNPAID,110194.54,synthetic
FR_invoice_img_synth_005.png,Fontaine SARL,F-2024-0797,07/08/2024,37983466443415,02/04/2026,Rédaction de contenu; Développement logiciel; Fourniture de matériel; Licence logicielle; Location d'équipement,10,4814.27,52956.94,UNPAID,52956.94,synthetic
FR_invoice_img_synth_006.png,Marie SARL,F-2026-2085,11/01/2026,92429456884460,17/06/2026,Licence logicielle; Développement logiciel; Licence logicielle; Audit de sécurité; Fourniture de matériel; Installation réseau,5.5,3133.25,60101.51,UNPAID,60101.51,synthetic
FR_invoice_img_synth_007.png,Laporte SCI,FC-2024-9607,06/10/2024,34869665117426,18/12/2025,Création graphique; Développement logiciel; Licence logicielle; Licence logicielle,5.5,2268.37,43511.51,PAID,,synthetic
FR_invoice_img_synth_008.png,Payet SAS,FAC-2025-2495,25/02/2025,51681536047465,03/05/2025,Création graphique; Hébergement web; Location d'équipement; Audit de sécurité; Développement logiciel,20,10599.94,63599.62,PAID,,synthetic
FR_invoice_img_synth_009.png,Camus EURL,F-2025-1712,06/05/2025,26406555664184,12/05/2026,Fourniture de matériel; Hébergement web; Location d'équipement,20,6164.37,36986.24,PAID,,synthetic
FR_invoice_img_synth_010.png,Moreau SARL,F-2025-7766,27/01/2025,58178556126162,06/03/2026,Transport de marchandises; Développement logiciel; Développement logiciel; Hébergement web; Formation professionnelle; Transport de marchandises,20,10275.14,61650.85,PAID,,synthetic
FR_invoice_img_synth_011.png,Lacroix SAS,FC-2024-4913,27/10/2024,53365752411583,21/07/2025,Création graphique; Prestation de conseil,5.5,2490.65,47775.19,PAID,,synthetic
FR_invoice_img_synth_012.png,Michel SARL,F-2024-3966,13/12/2024,64396785881175,10/10/2025,Installation réseau; Création graphique; Création graphique; Maintenance annuelle,20,9152.99,54917.92,PAID,,synthetic
FR_invoice_img_synth_013.png,Lefebvre SARL,F-2025-4501,15/07/2025,87309680880994,31/07/2026,Développement logiciel; Création graphique,20,5031.84,30191.05,PAID,,synthetic
FR_invoice_img_synth_014.png,Pinto EURL,FAC-2025-1739,22/03/2025,43758630011391,23/07/2026,Création graphique; Support technique,20,2883.12,17298.71,PAID,,synthetic
FR_invoice_img_synth_015.png,Texier SCI,FC-2025-8822,11/09/2025,82888646514546,02/04/2026,Location d'équipement; Fourniture de matériel; Prestation de conseil; Maintenance annuelle,20,4406.59,26439.55,PAID,,synthetic
FR_invoice_img_synth_016.png,Lefèvre SARL,F-2025-5963,28/08/2025,23786172309220,27/10/2025,Hébergement web; Installation réseau; Maintenance annuelle; Création graphique,20,5614.87,33689.21,PAID,,synthetic
FR_invoice_img_synth_017.png,Bonnin SASU,FAC-2025-3245,22/07/2025,05505476750720,21/08/2025,Nettoyage de locaux; Fourniture de matériel; Hébergement web; Support technique; Audit de sécurité; Maintenance annuelle,20,13772.05,82632.30,PAID,,synthetic
FR_invoice_img_synth_018.png,Chevallier EURL,FC-2025-6025,19/07/2025,25374305034662,13/06/2026,Prestation de conseil; Formation professionnelle; Développement logiciel; Nettoyage de locaux; Support technique; Prestation de conseil,20,9219.48,55316.90,UNPAID,55316.90,synthetic
FR_invoice_img_synth_019.png,Imbert SASU,F-2024-6341,18/12/2024,71130662212602,08/12/2025,Prestation de conseil; Hébergement web; Rédaction de contenu; Audit de sécurité; Prestation de conseil,5.5,3150.56,60433.38,PAID,,synthetic
FR_invoice_img_synth_020.png,Morel SARL,F-2024-3795,30/07/2024,16136325502049,03/10/2024,Fourniture de matériel; Transport de marchandises; Audit de sécurité; Prestation de conseil; Formation professionnelle,20,17603.02,105618.14,UNPAID,105618.14,synthetic
FR_invoice_img_synth_021.png,Samson SASU,F-2026-9649,12/04/2026,24210608343056,06/07/2026,Installation réseau; Prestation de conseil; Création graphique,20,4759.47,28556.80,PAID,,synthetic
FR_invoice_img_synth_022.png,Legros EURL,F-2025-7839,09/12/2025,11015720559198,12/01/2026,Nettoyage de locaux; Formation professionnelle; Nettoyage de locaux,20,8163.52,48981.10,UNPAID,48981.10,synthetic
FR_invoice_img_synth_023.png,Clément SARL,FC-2025-1162,07/06/2025,10054932908240,30/08/2025,Formation professionnelle; Nettoyage de locaux; Rédaction de contenu; Licence logicielle; Hébergement web,20,7355.01,44130.06,UNPAID,44130.06,synthetic
FR_invoice_img_synth_024.png,Marie SARL,FAC-2024-6723,14/09/2024,15707720094418,19/12/2024,Audit de sécurité; Création graphique; Rédaction de contenu; Fourniture de matériel; Hébergement web,20,9567.11,57402.64,PAID,,synthetic
FR_invoice_img_synth_025.png,Labbé SASU,FC-2024-5047,12/10/2024,10361220201509,08/03/2025,Transport de marchandises; Installation réseau; Licence logicielle; Formation professionnelle,20,9414.70,56488.21,UNPAID,56488.21,synthetic
FR_invoice_img_synth_026.png,Schneider SA,FAC-2025-8557,23/11/2025,54049549296335,22/02/2026,Nettoyage de locaux; Création graphique; Licence logicielle; Rédaction de contenu,20,6783.94,40703.64,UNPAID,40703.64,synthetic
FR_invoice_img_synth_027.png,Pichon EURL,FC-2025-8593,13/03/2025,03131683277317,20/03/2025,Location d'équipement; Création graphique; Fourniture de matériel; Prestation de conseil; Fourniture de matériel,5.5,5549.99,106458.88,UNPAID,106458.88,synthetic
FR_invoice_img_synth_028.png,Menard SAS,FAC-2024-1066,02/07/2024,54764277252874,27/11/2025,Location d'équipement; Support technique; Fourniture de matériel; Prestation de conseil,20,13437.50,80624.99,PAID,,synthetic
FR_invoice_img_synth_029.png,Blin SCI,FC-2025-3805,22/05/2025,33054237441665,25/11/2025,Transport de marchandises; Prestation de conseil; Développement logiciel; Hébergement web,20,21381.44,128288.64,PAID,,synthetic
FR_invoice_img_synth_030.png,Hubert SAS,FAC-2025-4707,26/12/2025,90322837800508,17/06/2026,Formation professionnelle; Maintenance annuelle; Installation réseau; Fourniture de matériel,20,12907.49,77444.95,UNPAID,77444.95,synthetic
FR_invoice_img_synth_031.png,Labbé SASU,FAC-2025-3783,17/11/2025,67717257728928,02/08/2026,Développement logiciel; Création graphique; Audit de sécurité; Développement logiciel; Création graphique; Maintenance annuelle,5.5,2977.13,57106.80,PAID,,synthetic
FR_invoice_img_synth_032.png,Pinto EURL,FC-2026-3356,07/02/2026,15532021443685,13/05/2026,Location d'équipement; Développement logiciel; Audit de sécurité; Maintenance annuelle; Support technique,20,7601.35,45608.08,PAID,,synthetic
FR_invoice_img_synth_033.png,Chevalier SARL,F-2024-7361,08/12/2024,76725832111819,02/12/2025,Développement logiciel; Rédaction de contenu; Formation professionnelle; Développement logiciel,20,4162.89,24977.33,UNPAID,24977.33,synthetic
FR_invoice_img_synth_034.png,Royer SA,FC-2024-2202,31/10/2024,01436176316062,17/12/2024,Développement logiciel; Audit de sécurité; Maintenance annuelle,20,3793.59,22761.54,PAID,,synthetic
FR_invoice_img_synth_035.png,Bazin SASU,FAC-2025-3418,18/08/2025,03758492001141,09/08/2026,Nettoyage de locaux; Création graphique; Nettoyage de locaux; Hébergement web,5.5,3604.35,69138.02,UNPAID,69138.02,synthetic
FR_invoice_img_synth_036.png,Lebrun SA,FC-2025-1589,11/04/2025,75102606685961,25/03/2026,Installation réseau; Hébergement web; Licence logicielle; Transport de marchandises; Installation réseau,20,9596.00,57575.98,PAID,,synthetic
FR_invoice_img_synth_037.png,Rousseau SARL,F-2024-8347,19/08/2024,72470173276693,13/03/2025,Développement logiciel; Support technique; Prestation de conseil; Maintenance annuelle; Support technique; Prestation de conseil,20,11431.30,68587.78,PAID,,synthetic
