Invoice,Field,Extracted,Ground Truth,Match
FR_invoice_img_real_001,supplier_name,AOYAMA,AOYAMA,YES
FR_invoice_img_real_001,invoice_number,7109200,T109200,NO
FR_invoice_img_real_001,invoice_date,31/03/2026,31/03/2026,YES
FR_invoice_img_real_001,siret,,44418819700016,NO
FR_invoice_img_real_001,invoice_content,[],1 Repas complet,NO
FR_invoice_img_real_001,tva_percentage,,10; 20,NO
FR_invoice_img_real_001,tva_amount,,3.40,NO
FR_invoice_img_real_001,total_amount,,33.90,NO
FR_invoice_img_real_001,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_002,supplier_name,71 SHALON SUR SA,Hyper Carrefour Chalon,NO
FR_invoice_img_real_002,invoice_number,,00031 00 02 00550383,NO
FR_invoice_img_real_002,invoice_date,31/03/26,31/03/2026,NO
FR_invoice_img_real_002,siret,99269214500912,99269214500012,NO
FR_invoice_img_real_002,invoice_content,[],"Gazole 24,03 L @ 2,279 EUR/L",NO
FR_invoice_img_real_002,tva_percentage,,20,NO
FR_invoice_img_real_002,tva_amount,,9.13,NO
FR_invoice_img_real_002,total_amount,,54.76,NO
FR_invoice_img_real_002,payment_status,PAID,PAID,YES
FR_invoice_img_real_003,supplier_name,DRANO LE PRISME,Orano Le Prisme,YES
FR_invoice_img_real_003,invoice_number,,002-001-305604,NO
FR_invoice_img_real_003,invoice_date,31/03/2026,31/03/2026,YES
FR_invoice_img_real_003,invoice_content,[],Petit pain individuel; Conte AOP; Beurre portion x2; Eminence de boeuf,NO
FR_invoice_img_real_003,tva_percentage,,10; 20,NO
FR_invoice_img_real_003,tva_amount,1.07,1.07,YES
FR_invoice_img_real_003,total_amount,,12.84,NO
FR_invoice_img_real_003,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_004,supplier_name,JUSTIFICATIF DF PAIEHERT,Le Creusot Gare TGV (Effia),NO
FR_invoice_img_real_004,invoice_number,25557,25557,YES
FR_invoice_img_real_004,invoice_date,31/02/26,31/03/2026,NO
