entity,m1_rules_precision,m1_rules_recall,m1_rules_f1,layoutlmv3_precision,layoutlmv3_recall,layoutlmv3_f1,camembert_precision,camembert_recall,camembert_f1,best_model,delta_layoutlmv3_vs_m1
consumer_name,,,,,0.95,1.00,0.97,0.15,0.17,0.16,LayoutLMv3,
echeance,0.9394,0.8052,0.8671,0.96,1.00,0.98,0.00,0.00,0.00,LayoutLMv3,+0.1129
invoice_content,0.2953,0.4835,0.3667,0.75,0.87,0.80,0.22,0.27,0.24,LayoutLMv3,+0.4333
invoice_date,0.8023,0.8571,0.8288,0.92,0.92,0.92,0.00,0.00,0.00,LayoutLMv3,+0.0912
invoice_number,0.5644,0.4385,0.4935,1.00,0.96,0.98,0.30,0.88,0.44,LayoutLMv3,+0.4865
payment_status,0.5635,1.0000,0.7208,1.00,0.81,0.90,0.00,0.00,0.00,LayoutLMv3,+0.1792
siret,0.7963,0.8776,0.8350,1.00,0.96,0.98,0.50,0.91,0.65,LayoutLMv3,+0.1450
solde_du,0.5000,0.4889,0.4944,0.67,1.00,0.80,0.00,0.00,0.00,LayoutLMv3,+0.3056
supplier_name,0.6804,0.9778,0.8024,0.66,0.76,0.70,0.00,0.00,0.00,M1 Rules,-0.1024
total_amount,0.8824,0.6667,0.7595,0.96,0.83,0.89,0.00,0.00,0.00,LayoutLMv3,+0.1305
tva_amount,0.8283,0.4824,0.6097,0.66,0.70,0.68,0.00,0.00,0.00,LayoutLMv3,+0.0703
tva_percentage,0.7368,0.6282,0.6782,0.83,0.83,0.83,0.00,0.00,0.00,LayoutLMv3,+0.1518
,,,,,,,,,,,,
MACRO_AVG,0.6899,0.7005,0.6778,0.8623,0.8867,0.8696,0.0970,0.1853,0.1240,LayoutLMv3,+0.1918
